bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
2,0.13333333333333333,0.2,1181,41905.28337600001,0.1578941852599876,0.027013300204725952,0.13088088505526166,1.3179067129811669e-05,uncalibrated,binary_class,donor
3,0.2,0.26666666666666666,1473,18926.264304,0.23211814550699708,0.07671878489476261,0.15539936061223447,7.0673043339575085e-06,uncalibrated,binary_class,donor
4,0.26666666666666666,0.3333333333333333,1818,13453.509536000001,0.2978670633873167,0.13409140530749314,0.16377565807982358,5.294495813489e-06,uncalibrated,binary_class,donor
5,0.3333333333333333,0.4,2077,6232.53912,0.36012211558643886,0.33244877570860715,0.027673339877831715,4.14444380453773e-07,uncalibrated,binary_class,donor
6,0.4,0.4666666666666667,2642,3473.107824,0.4322758293655704,0.7604140538770673,0.3281382245114969,2.7385126751834593e-06,uncalibrated,binary_class,donor
7,0.4666666666666667,0.5333333333333333,3290,5783.323472,0.5045280075334517,0.5683583178278083,0.0638303102943566,8.870418390772677e-07,uncalibrated,binary_class,donor
8,0.5333333333333333,0.6,4135,6628.323472,0.5688400863374642,0.623385388093202,0.054545301755737796,8.687617837247205e-07,uncalibrated,binary_class,donor
9,0.6,0.6666666666666666,5082,5913.107824000001,0.6351679762640959,0.8592774140490625,0.22410943778496661,3.184311971353632e-06,uncalibrated,binary_class,donor
10,0.6666666666666666,0.7333333333333333,6510,6510.0,0.7010419065593392,1.0,0.2989580934406608,4.676608007253705e-06,uncalibrated,binary_class,donor
11,0.7333333333333333,0.8,7892,7892.0,0.7676279484334477,1.0,0.23237205156655227,4.406671066328409e-06,uncalibrated,binary_class,donor
12,0.8,0.8666666666666667,9218,9218.0,0.8336061859407609,1.0,0.16639381405923914,3.6856453719676723e-06,uncalibrated,binary_class,donor
13,0.8666666666666667,0.9333333333333333,6247,6247.0,0.8942776234012156,1.0,0.10572237659878436,1.5870042450322134e-06,uncalibrated,binary_class,donor
14,0.9333333333333333,1.0,445,445.0,0.943321430951022,1.0,0.056678569048977945,6.060640913782004e-08,uncalibrated,binary_class,donor
0,0.0,0.06666666666666667,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
1,0.06666666666666667,0.13333333333333333,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
2,0.13333333333333333,0.2,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
3,0.2,0.26666666666666666,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
4,0.26666666666666666,0.3333333333333333,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
5,0.3333333333333333,0.4,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
6,0.4,0.4666666666666667,0,0.0,,,,0.0,true-logit genome-weighted vector T,multiclass,argmax
7,0.4666666666666667,0.5333333333333333,3119,4781.215648,0.5208787473247037,0.6935925697865531,0.1727138224618494,1.9842897697531917e-06,true-logit genome-weighted vector T,multiclass,argmax
8,0.5333333333333333,0.6,6486,10641.539120000001,0.565048048644969,0.411510757477721,0.15353729116724807,3.926069517337325e-06,true-logit genome-weighted vector T,multiclass,argmax
9,0.6,0.6666666666666666,6903,11889.646944,0.6386584159292877,0.5553002122852606,0.08335820364402713,2.3815350134888907e-06,true-logit genome-weighted vector T,multiclass,argmax
10,0.6666666666666666,0.7333333333333333,7486,9148.215648000001,0.7045876663233163,0.7141519067085288,0.00956424038521253,2.1024541895721557e-07,true-logit genome-weighted vector T,multiclass,argmax
11,0.7333333333333333,0.8,8942,17253.078240000003,0.7699238578493882,0.7444389003130145,0.025484957536373698,1.0565502843092395e-06,true-logit genome-weighted vector T,multiclass,argmax
12,0.8,0.8666666666666667,11895,29348.264304000004,0.8410390106982576,0.9000281594301945,0.05898914873193695,4.16000847763565e-06,true-logit genome-weighted vector T,multiclass,argmax
13,0.8666666666666667,0.9333333333333333,18652,59376.28337600001,0.9063539169794388,0.939437098525882,0.033083181546443186,4.720195027107998e-06,true-logit genome-weighted vector T,multiclass,argmax
14,0.9333333333333333,1.0,542605,416017561.75672,0.9999714427611167,0.9999855607057196,1.4117944602931587e-05,1.4113112482526056e-05,true-logit genome-weighted vector T,multiclass,argmax
0,0.0,0.06666666666666667,556371,416067896.50097597,1.396488234007219e-05,8.070798127516967e-06,5.894084212555223e-06,5.892779748456034e-06,true-logit genome-weighted vector T,binary_class,acceptor
1,0.06666666666666667,0.13333333333333333,1986,26088.126896,0.09419738069807246,0.07501496783581116,0.0191824128622613,1.2025019726118209e-06,true-logit genome-weighted vector T,binary_class,acceptor
2,0.13333333333333333,0.2,1534,9013.970416,0.1576068141090857,0.16918182883017796,0.011575014721092264,2.507132839789748e-07,true-logit genome-weighted vector T,binary_class,acceptor
3,0.2,0.26666666666666666,1488,5643.53912,0.23058438769604303,0.2627783680535557,0.03219398035751267,4.365820539603382e-07,true-logit genome-weighted vector T,binary_class,acceptor
4,0.26666666666666666,0.3333333333333333,1368,2199.107824,0.29213556877364194,0.6216157230133159,0.329480154239674,1.7410668614023306e-06,true-logit genome-weighted vector T,binary_class,acceptor
5,0.3333333333333333,0.4,1409,3071.2156480000003,0.35987900842483606,0.4581247822556027,0.09824577383076666,7.25043151525662e-07,true-logit genome-weighted vector T,binary_class,acceptor
6,0.4,0.4666666666666667,1532,2363.107824,0.4295158858610433,0.6478756425970006,0.2183597567359573,1.2399261091634887e-06,true-logit genome-weighted vector T,binary_class,acceptor
7,0.4666666666666667,0.5333333333333333,1497,2328.107824,0.49211055621061817,0.6425819219273411,0.15047136571672293,8.417761529533546e-07,true-logit genome-weighted vector T,binary_class,acceptor
8,0.5333333333333333,0.6,1787,3449.2156480000003,0.5690779438137733,0.5175089591846824,0.051568984629090875,4.274138522061989e-07,true-logit genome-weighted vector T,binary_class,acceptor
9,0.6,0.6666666666666666,1978,1978.0,0.6333429280920868,1.0,0.3666570719079132,1.7427135914884955e-06,true-logit genome-weighted vector T,binary_class,acceptor
10,0.6666666666666666,0.7333333333333333,2353,2353.0,0.7016546582598104,1.0,0.29834534174018956,1.686867044200947e-06,true-logit genome-weighted vector T,binary_class,acceptor
11,0.7333333333333333,0.8,2982,3813.107824,0.7709964092578866,0.7817770012264935,0.010780591968606923,9.877825735978139e-08,true-logit genome-weighted vector T,binary_class,acceptor
12,0.8,0.8666666666666667,4212,4212.0,0.8358488292605789,1.0,0.1641511707394211,1.6613916069647292e-06,true-logit genome-weighted vector T,binary_class,acceptor
13,0.8666666666666667,0.9333333333333333,7186,7186.0,0.90372493526347,1.0,0.09627506473653002,1.662419778923262e-06,true-logit genome-weighted vector T,binary_class,acceptor
14,0.9333333333333333,1.0,18405,18405.0,0.9720026820420377,1.0,0.027997317957962342,1.2382031839107479e-06,true-logit genome-weighted vector T,binary_class,acceptor
0,0.0,0.06666666666666667,555629,416072972.255744,1.20599359304949e-05,6.3666716577104704e-06,5.69326427278443e-06,5.6920736923655675e-06,true-logit genome-weighted vector T,binary_class,donor
1,0.06666666666666667,0.13333333333333333,1660,18282.156480000005,0.09067466567885997,0.08970495366857288,0.0009697120102870882,4.260002574155114e-08,true-logit genome-weighted vector T,binary_class,donor
