method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
uncalibrated,binary_class,acceptor,14,0.9333333333333333,1.0,656,656.0,1.6106909731196253e-06,0.9440265129446808,1.0,0.05597348705531924,9.015599033403089e-08
uncalibrated,binary_class,donor,0,0.0,0.06666666666666667,553939,406928516.7797959,0.9991403790886817,0.0005765307506692336,7.593471267269562e-07,0.0005757714035425067,0.0005752764584038825
uncalibrated,binary_class,donor,1,0.06666666666666667,0.13333333333333333,885,191206.85671199937,0.0004694743263789558,0.09159226876379534,0.0034046896183255225,0.08818757914546982,4.1401804314310296e-05
uncalibrated,binary_class,donor,2,0.13333333333333333,0.2,1000,57933.88875999989,0.0001422463287552566,0.1592842510634932,0.01605278050387173,0.14323147055962146,2.0374150849322774e-05
uncalibrated,binary_class,donor,3,0.2,0.26666666666666666,1341,25741.23804,6.320301790846267e-05,0.22494916562387848,0.05092995130858904,0.17401921431528944,1.0998539518785842e-05
uncalibrated,binary_class,donor,4,0.26666666666666666,0.3333333333333333,1545,9678.41268,2.3763615758845303e-05,0.3000846980423285,0.15860038735194748,0.14148431069038103,3.362178795151304e-06
uncalibrated,binary_class,donor,5,0.3333333333333333,0.4,2031,8537.730144000001,2.0962873283341647e-05,0.36406953517137436,0.23694822463107354,0.12712131054030082,2.664827924468649e-06
uncalibrated,binary_class,donor,6,0.4,0.4666666666666667,2533,5786.3650720000005,1.420738717781264e-05,0.425610285445478,0.43706194969234385,0.011451664246865834,1.6269822778553708e-07
uncalibrated,binary_class,donor,7,0.4666666666666667,0.5333333333333333,3357,4983.682536,1.2236543404922442e-05,0.5056367171421958,0.6731969734759204,0.16756025633372462,2.0503583495675518e-06
uncalibrated,binary_class,donor,8,0.5333333333333333,0.6,4369,5995.682536,1.4721328869552108e-05,0.56268828512499,0.7283574428397654,0.16566915771477542,2.4388701542609048e-06
uncalibrated,binary_class,donor,9,0.6,0.6666666666666666,5663,8103.023804,1.989552941475038e-05,0.635498946213608,0.6985046739225894,0.06300572770898138,1.2535323089317922e-06
uncalibrated,binary_class,donor,10,0.6666666666666666,0.7333333333333333,7393,8206.341268,2.0149207016321128e-05,0.7007585773348575,0.9007668287967182,0.20000825146186074,4.030007663677445e-06
uncalibrated,binary_class,donor,11,0.7333333333333333,0.8,9409,9409.0,2.310212098488194e-05,0.7675575517141644,1.0,0.2324424482858356,5.369913562321538e-06
uncalibrated,binary_class,donor,12,0.8,0.8666666666666667,9619,9619.0,2.361773852200865e-05,0.8323613690240963,1.0,0.1676386309759037,3.9592453525763935e-06
uncalibrated,binary_class,donor,13,0.8666666666666667,0.9333333333333333,4709,4709.0,1.1562109439665115e-05,0.8916152785563558,1.0,0.1083847214436442,1.2531560109190325e-06
uncalibrated,binary_class,donor,14,0.9333333333333333,1.0,195,195.0,4.787877130462301e-07,0.9435187705814757,1.0,0.05648122941852429,2.7042518663334696e-08
global_T_1.1,multiclass,argmax,0,0.0,0.06666666666666667,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,2,0.13333333333333333,0.2,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,3,0.2,0.26666666666666666,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,5,0.3333333333333333,0.4,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,6,0.4,0.4666666666666667,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,7,0.4666666666666667,0.5333333333333333,6950,12643.388876,3.104358587227788e-05,0.5142435482068871,0.5582652832420877,0.04402173503520057,1.3665925118119124e-06
global_T_1.1,multiclass,argmax,8,0.5333333333333333,0.6,14308,33014.849164,8.106207245024513e-05,0.5681787257155126,0.7421958516387546,0.17401712592324192,1.4106188869173268e-05
global_T_1.1,multiclass,argmax,9,0.6,0.6666666666666666,16125,36458.53169999999,8.951742058290501e-05,0.6339008217895868,0.8001739309759425,0.16627310918635563,1.4884339846662285e-05
