method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
uncalibrated,binary_class,acceptor,14,0.9333333333333333,1.0,1614,1614.0,3.9628890710595655e-06,0.9465071624470538,1.0,0.053492837552946204,2.1198618131853523e-07
uncalibrated,binary_class,donor,0,0.0,0.06666666666666667,553949,406915513.31950784,0.9991084514116919,0.0006373195855417552,8.257242326767096e-07,0.0006364938613090784,0.0006359263961055615
uncalibrated,binary_class,donor,1,0.06666666666666667,0.13333333333333333,1085,205233.65826799918,0.0005039146352935736,0.09256624013230666,0.004058788441573496,0.08850745169073317,4.4600200239499386e-05
uncalibrated,binary_class,donor,2,0.13333333333333333,0.2,1216,58149.88875999989,0.00014277667822201553,0.1589430267578573,0.019707690323017602,0.13923533643483968,1.9879558827291178e-05
uncalibrated,binary_class,donor,3,0.2,0.26666666666666666,1512,23472.214236000003,5.7631834739413365e-05,0.22885763018725777,0.06326629371516272,0.16559133647209506,9.543332537838376e-06
uncalibrated,binary_class,donor,4,0.26666666666666666,0.3333333333333333,1849,10795.753948000001,2.6507047914731948e-05,0.2862746507624878,0.17025212031073605,0.11602253045175176,3.0754147738730304e-06
uncalibrated,binary_class,donor,5,0.3333333333333333,0.4,2124,7004.047608000001,1.719718941692943e-05,0.3640350838759355,0.30239657388690894,0.061638509989026535,1.0600091316585861e-06
uncalibrated,binary_class,donor,6,0.4,0.4666666666666667,2689,6755.706340000001,1.658743173610522e-05,0.42802623284724267,0.3972937639559981,0.03073246889124459,5.097727298154969e-07
uncalibrated,binary_class,donor,7,0.4666666666666667,0.5333333333333333,3358,9864.730144000001,2.4221085053661377e-05,0.4942730705302561,0.33959367880301944,0.15467939172723666,3.746502703074005e-06
uncalibrated,binary_class,donor,8,0.5333333333333333,0.6,4216,5029.341268,1.2348650276075624e-05,0.5640622335995668,0.8380819227397873,0.27401968914022057,3.3837733099515413e-06
uncalibrated,binary_class,donor,9,0.6,0.6666666666666666,5164,5164.0,1.2679280770106317e-05,0.6344769146234049,1.0,0.36552308537659506,4.6345698274453915e-06
uncalibrated,binary_class,donor,10,0.6666666666666666,0.7333333333333333,6628,6628.0,1.627387160036109e-05,0.701052972930199,1.0,0.29894702706980103,4.865025533843613e-06
uncalibrated,binary_class,donor,11,0.7333333333333333,0.8,8031,8844.341268,2.1715702200544176e-05,0.7692687027921147,0.9079251644272938,0.13865646163517908,3.0110224290507275e-06
uncalibrated,binary_class,donor,12,0.8,0.8666666666666667,9370,9370.0,2.3006363442272696e-05,0.8336393812830242,1.0,0.16636061871697583,3.8273528566840995e-06
uncalibrated,binary_class,donor,13,0.8666666666666667,0.9333333333333333,6342,6342.0,1.557164962122662e-05,0.8942930054027322,1.0,0.10570699459726784,1.6460322823815502e-06
uncalibrated,binary_class,donor,14,0.9333333333333333,1.0,455,455.0,1.1171713304412034e-06,0.943319701201782,1.0,0.05668029879821801,6.332160481821016e-08
global_T_1.1,multiclass,argmax,0,0.0,0.06666666666666667,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,2,0.13333333333333333,0.2,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,3,0.2,0.26666666666666666,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,5,0.3333333333333333,0.4,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,6,0.4,0.4666666666666667,0,0.0,0.0,,,,0.0
global_T_1.1,multiclass,argmax,7,0.4666666666666667,0.5333333333333333,7001,19201.119020000002,4.714492237699626e-05,0.516997424207956,0.5309966639642235,0.01399923975626749,6.599930716461908e-07
global_T_1.1,multiclass,argmax,8,0.5333333333333333,0.6,14396,29036.142824000002,7.129306881223931e-05,0.565696007055883,0.7516652752499906,0.18596926819410764,1.3258319834324304e-05
global_T_1.1,multiclass,argmax,9,0.6,0.6666666666666666,15375,36521.872967999996,8.967294376673665e-05,0.6361769795010618,0.8323283545352265,0.1961513750341647,1.7589471223206723e-05
global_T_1.1,multiclass,argmax,10,0.6666666666666666,0.7333333333333333,17471,47564.62691599996,0.00011678645611799373,0.704240454015255,0.9208865864406858,0.21664613242543074,2.5301334037635626e-05
global_T_1.1,multiclass,argmax,11,0.7333333333333333,0.8,19720,83160.61890399996,0.00020418606431053961,0.7713529972204914,0.945446743954165,0.1740937467336735,3.554751696662466e-05
global_T_1.1,multiclass,argmax,12,0.8,0.8666666666666667,20727,193968.69008399942,0.00047625551552764637,0.8396670275742179,0.9888796485707776,0.14921262099655974,7.106333373594787e-05
global_T_1.1,multiclass,argmax,13,0.8666666666666667,0.9333333333333333,13137,586542.5939400012,0.0014401507033678807,0.9081371494978656,0.9976029021344293,0.08946575263656364,0.00012884416658688396
global_T_1.1,multiclass,argmax,14,0.9333333333333333,1.0,500161,406282626.3366897,0.9975545103290241,0.9979147058507931,0.9999986782599964,0.0020839724092033274,0.002078876076202022
global_T_1.1,binary_class,acceptor,0,0.0,0.06666666666666667,553755,406772171.2563393,0.9987565005470366,0.0009894483182476912,7.866811512981862e-07,0.000988661637096393,0.0009874322368914978
global_T_1.1,binary_class,acceptor,1,0.06666666666666667,0.13333333333333333,1112,280088.05492399883,0.0006877062526596322,0.09064373372208126,0.0027384245294149495,0.08790530919266631,6.045303077377487e-05
global_T_1.1,binary_class,acceptor,2,0.13333333333333333,0.2,1210,89050.85694399997,0.0002186484930308961,0.15806102654462426,0.012363721560729828,0.14569730498389444,3.185649617339139e-05
global_T_1.1,binary_class,acceptor,3,0.2,0.26666666666666666,1599,40639.38086399997,9.978274986404754e-05,0.22804330989358337,0.0381649515082534,0.18987835838532996,1.8946584739359354e-05
global_T_1.1,binary_class,acceptor,4,0.26666666666666666,0.3333333333333333,1909,15735.801556,3.863645353818743e-05,0.29813291426096444,0.12023537493573613,0.1778975393252283,6.873330012697055e-06
global_T_1.1,binary_class,acceptor,5,0.3333333333333333,0.4,2221,16861.142824000002,4.1399528266916994e-05,0.3586140729137774,0.1306554379495718,0.2279586349642056,9.437379951888443e-06
global_T_1.1,binary_class,acceptor,6,0.4,0.4666666666666667,2739,11685.753948000001,2.869228414350705e-05,0.4328658133301572,0.23344664042553223,0.199419172904625,5.721791572642662e-06
