reference_method,comparison_method,metric,direction,mean_method_minus_reference,mean_improvement,improvement_ci_lower_2.5,improvement_ci_upper_97.5,probability_comparison_better,improvement_ci_excludes_zero,n_bootstrap
global_T_1.1,true_logit_unweighted_vector_T,acceptor_nll,lower_is_better,-0.00032046053498587944,0.00032046053498587944,0.00017759476449898551,0.00044366189043350555,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,acceptor_brier,lower_is_better,0.00022016386139343155,-0.00022016386139343155,-0.00025601597279608935,-0.00018761462579181456,0.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,sampled_acceptor_auprc,higher_is_better,-4.571816926553673e-05,-4.571816926553673e-05,-7.242722647548827e-05,-1.4750127231291647e-05,0.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,-0.011051402585814362,-0.011051402585814362,-0.02310859160731588,0.00327489345962016,0.06,False,200
global_T_1.1,true_logit_unweighted_vector_T,donor_ece,lower_is_better,-0.0005502886538940392,0.0005502886538940392,0.0005139439875496791,0.0005880704754494982,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,donor_nll,lower_is_better,-0.00019448278050556027,0.00019448278050556027,8.67160529974135e-05,0.00030360931788530736,1.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,donor_brier,lower_is_better,0.00023107046934889102,-0.00023107046934889102,-0.00026104152094760043,-0.00019884505564874246,0.0,True,200
global_T_1.1,true_logit_unweighted_vector_T,sampled_donor_auprc,higher_is_better,-1.8164329111691192e-05,-1.8164329111691192e-05,-3.4561873360106074e-05,4.332096862802459e-06,0.045,False,200
global_T_1.1,true_logit_unweighted_vector_T,target_weighted_donor_auprc,higher_is_better,-0.005114006346515527,-0.005114006346515527,-0.013331557908826144,0.002688958890444475,0.12,False,200
global_T_1.1,true_logit_target_weighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.0024418083239130402,0.0024418083239130402,0.0024128193973494685,0.0024701241708778646,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,weighted_multiclass_nll,lower_is_better,-0.002419489180212596,0.002419489180212596,0.002391656583279853,0.0024440683478431347,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,weighted_multiclass_brier,lower_is_better,-0.00011959234568212774,0.00011959234568212774,0.00010804956536768014,0.00012952617671611568,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,acceptor_ece,lower_is_better,-0.001313766124539905,0.001313766124539905,0.0012938877412198907,0.0013351614020650864,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,acceptor_nll,lower_is_better,-0.0013052538063236625,0.0013052538063236625,0.0012840431347291945,0.00132750293568444,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,acceptor_brier,lower_is_better,-3.308927503304424e-05,3.308927503304424e-05,2.9139724459279225e-05,3.7224721326315256e-05,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,sampled_acceptor_auprc,higher_is_better,-4.336223467791833e-06,-4.336223467791833e-06,-6.230620755878769e-06,-2.681280071320513e-06,0.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,-0.0005441479311269676,-0.0005441479311269676,-0.0013815169877263583,0.00010476150343100016,0.05,False,200
global_T_1.1,true_logit_target_weighted_vector_T,donor_ece,lower_is_better,-0.0011150306165945974,0.0011150306165945974,0.0010980416397107422,0.0011307565065217242,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,donor_nll,lower_is_better,-0.0011131123273543262,0.0011131123273543262,0.0010972981983863456,0.0011283326280851192,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,donor_brier,lower_is_better,-2.5607500093088963e-05,2.5607500093088963e-05,2.1580866887211144e-05,2.9284591852622883e-05,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,sampled_donor_auprc,higher_is_better,2.0855560968452423e-06,2.0855560968452423e-06,4.451044088332745e-07,4.4845185098091334e-06,0.995,True,200
global_T_1.1,true_logit_target_weighted_vector_T,target_weighted_donor_auprc,higher_is_better,0.0003151717072360777,0.0003151717072360777,-0.00048021529423648564,0.0011562183722418908,0.76,False,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,-0.002443864320875783,0.002443864320875783,0.0024165477465841433,0.002467091008568973,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,-0.002418693310603235,0.002418693310603235,0.0023929448539336154,0.002441608271898462,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,-0.00011864169990857063,0.00011864169990857063,0.00010779423607078265,0.00012916803080722378,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,acceptor_ece,lower_is_better,-0.0013144653663826613,0.0013144653663826613,0.0012945913593466283,0.001332645067121216,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,acceptor_nll,lower_is_better,-0.001304167478308859,0.001304167478308859,0.0012822613008101782,0.0013262418684874843,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,acceptor_brier,lower_is_better,-3.2700004887295425e-05,3.2700004887295425e-05,2.8680943758107894e-05,3.6578944115371834e-05,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,sampled_acceptor_auprc,higher_is_better,-8.531061672695239e-07,-8.531061672695239e-07,-1.8673140993130667e-06,-1.7364923526053114e-07,0.005,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,6.303078007628415e-05,6.303078007628415e-05,-2.8496514851833465e-05,0.0002009311402744324,0.91,False,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,donor_ece,lower_is_better,-0.0011141758258735215,0.0011141758258735215,0.001095448129638492,0.0011291866541449753,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,donor_nll,lower_is_better,-0.0011134027558011728,0.0011134027558011728,0.0010992295839303327,0.0011266416162973695,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,donor_brier,lower_is_better,-2.5521421081201393e-05,2.5521421081201393e-05,2.2293536607104327e-05,2.8551980775419726e-05,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,sampled_donor_auprc,higher_is_better,4.705286571476952e-07,4.705286571476952e-07,7.498149935669665e-08,1.0424183504109677e-06,0.985,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,9.279054158971067e-05,9.279054158971067e-05,-0.00011152799804218238,0.00030240467389164034,0.8,False,200
