reference_method,comparison_method,metric,direction,mean_method_minus_reference,mean_improvement,improvement_ci_lower_2.5,improvement_ci_upper_97.5,probability_comparison_better,improvement_ci_excludes_zero,n_bootstrap
global_T_1.1,true_logit_target_weighted_vector_T,donor_nll,lower_is_better,-0.0012109846529905367,0.0012109846529905367,0.0011952052605992674,0.0012287500746341836,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,donor_brier,lower_is_better,-2.7045508359764494e-05,2.7045508359764494e-05,2.4197853574624985e-05,3.0539360232326004e-05,1.0,True,200
global_T_1.1,true_logit_target_weighted_vector_T,sampled_donor_auprc,higher_is_better,9.108800983426146e-08,9.108800983426146e-08,-2.3642136896706576e-06,2.878163218755782e-06,0.53,False,200
global_T_1.1,true_logit_target_weighted_vector_T,target_weighted_donor_auprc,higher_is_better,-0.00038939139666886003,-0.00038939139666886003,-0.001720954390699092,0.0007261269567283654,0.335,False,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,-0.002353797297992703,0.002353797297992703,0.0023264693779855143,0.002375369751227762,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,-0.0023203853346112175,0.0023203853346112175,0.0022956615132907338,0.0023406927809627408,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,-0.000115804313359538,0.000115804313359538,0.00010563087159742541,0.0001232221857241163,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,acceptor_ece,lower_is_better,-0.0011179897993503715,0.0011179897993503715,0.0011029180662083561,0.0011350760542872807,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,acceptor_nll,lower_is_better,-0.0011080632547661017,0.0011080632547661017,0.0010909436143552221,0.0011254266462325708,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,acceptor_brier,lower_is_better,-2.9440982723651816e-05,2.9440982723651816e-05,2.564798582683536e-05,3.3048953640790175e-05,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,sampled_acceptor_auprc,higher_is_better,1.0143214522728705e-06,1.0143214522728705e-06,-1.0089694492398937e-07,2.1051512878372813e-06,0.96,False,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,0.0003937945273196708,0.0003937945273196708,8.58542794034134e-05,0.0007125451290104335,0.985,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,donor_ece,lower_is_better,-0.0012170861667166902,0.0012170861667166902,0.0012022233381075015,0.0012351363077725355,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,donor_nll,lower_is_better,-0.0012112962649774997,0.0012112962649774997,0.0011966309300964345,0.0012277962766215921,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,donor_brier,lower_is_better,-2.7457875698569368e-05,2.7457875698569368e-05,2.503508031054362e-05,3.0333950576459624e-05,1.0,True,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,sampled_donor_auprc,higher_is_better,-9.056891175918125e-08,-9.056891175918125e-08,-9.957132735383123e-07,8.037919139086697e-07,0.44,False,200
global_T_1.1,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,-0.00011978081184887634,-0.00011978081184887634,-0.0006032114821126116,0.00028932658566918347,0.365,False,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.00012484150388119634,0.00012484150388119634,7.510150808082688e-05,0.00017920344268040282,1.0,True,200
true_logit_unweighted_vector_T,true_logit_target_weighted_vector_T,weighted_multiclass_nll,lower_is_better,-0.0020628690168655044,0.0020628690168655044,0.0019049323895198027,0.0022370477853885635,1.0,True,200
