bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
13,0.8666666666666667,0.9333333333333333,19073,58135.06772800001,0.9080695812533999,0.9207688576961692,0.012699276442769358,1.7740131105752395e-06,true-logit genome-weighted vector T,multiclass,argmax
14,0.9333333333333333,1.0,537695,416000185.13936,0.9999662740784228,0.9999846610645189,1.8386986096130542e-05,1.837992507724227e-05,true-logit genome-weighted vector T,multiclass,argmax
0,0.0,0.06666666666666667,556252,416066115.285328,1.729357011105455e-05,7.78962737154743e-06,9.503942739507118e-06,9.5017986724359e-06,true-logit genome-weighted vector T,binary_class,acceptor
1,0.06666666666666667,0.13333333333333333,1956,22733.6956,0.09188013514975227,0.08493999541368012,0.006940139736072146,3.791210692554029e-07,true-logit genome-weighted vector T,binary_class,acceptor
2,0.13333333333333333,0.2,1622,9101.970416,0.16691900499899628,0.17721437516041252,0.01029537016141624,2.2517338194679872e-07,true-logit genome-weighted vector T,binary_class,acceptor
3,0.2,0.26666666666666666,1472,5627.53912,0.2376699990489616,0.26068232822875514,0.02301232917979354,3.1118507954057496e-07,true-logit genome-weighted vector T,binary_class,acceptor
4,0.26666666666666666,0.3333333333333333,1578,5733.539120000001,0.29500913950049407,0.2743506178431725,0.02065852165732157,2.8461755594872284e-07,true-logit genome-weighted vector T,binary_class,acceptor
5,0.3333333333333333,0.4,1390,3052.2156480000003,0.36806487129689003,0.4547516165541917,0.08668674525730169,6.357810465891148e-07,true-logit genome-weighted vector T,binary_class,acceptor
6,0.4,0.4666666666666667,1549,1549.0,0.43393042782060476,1.0,0.5660695721793952,2.1069823320498925e-06,true-logit genome-weighted vector T,binary_class,acceptor
7,0.4666666666666667,0.5333333333333333,1762,2593.107824,0.5050046617581098,0.6791078965947387,0.17410323483662893,1.0848434747178294e-06,true-logit genome-weighted vector T,binary_class,acceptor
8,0.5333333333333333,0.6,1769,2600.107824,0.5719619664616757,0.6799718010463554,0.10800983458467961,6.74829911506563e-07,true-logit genome-weighted vector T,binary_class,acceptor
9,0.6,0.6666666666666666,2044,2044.0,0.6338912948665544,1.0,0.3661087051334456,1.798169437939165e-06,true-logit genome-weighted vector T,binary_class,acceptor
10,0.6666666666666666,0.7333333333333333,2455,4117.215648,0.6996157166617153,0.5957909931658746,0.10382472349584071,1.0271741066569316e-06,true-logit genome-weighted vector T,binary_class,acceptor
11,0.7333333333333333,0.8,3219,4050.107824,0.7642098203603452,0.7945467478497431,0.03033692748939787,2.9524179974272153e-07,true-logit genome-weighted vector T,binary_class,acceptor
12,0.8,0.8666666666666667,4268,5099.107824000001,0.8368824594209051,0.8368130557891885,6.940363171659136e-05,8.503859128702558e-10,true-logit genome-weighted vector T,binary_class,acceptor
13,0.8666666666666667,0.9333333333333333,7271,8102.107824000001,0.9038409099733296,0.8972973648246031,0.0065435451487264595,1.2739453178151167e-07,true-logit genome-weighted vector T,binary_class,acceptor
14,0.9333333333333333,1.0,17481,17481.0,0.9721859604000432,1.0,0.027814039599956764,1.1683420469214826e-06,true-logit genome-weighted vector T,binary_class,acceptor
0,0.0,0.06666666666666667,556107,416062645.854032,1.4165444050532571e-05,7.546940421807566e-06,6.618503628725005e-06,6.616955332953282e-06,true-logit genome-weighted vector T,binary_class,donor
1,0.06666666666666667,0.13333333333333333,1864,19317.264304,0.08813854310088444,0.09540688427700254,0.007268341176118104,3.373809773902336e-07,true-logit genome-weighted vector T,binary_class,donor
2,0.13333333333333333,0.2,1655,10797.186064000001,0.16281638684524158,0.15226189400231122,0.010554492842930363,2.7383415762273037e-07,true-logit genome-weighted vector T,binary_class,donor
3,0.2,0.26666666666666666,1590,8238.862592000001,0.2345329451697613,0.19201679629129076,0.04251614887847055,8.417068160100294e-07,true-logit genome-weighted vector T,binary_class,donor
4,0.26666666666666666,0.3333333333333333,1574,5729.539120000001,0.308172483493818,0.2738440155724078,0.0343284679214102,4.726218278676107e-07,true-logit genome-weighted vector T,binary_class,donor
5,0.3333333333333333,0.4,1683,4176.323472,0.37263785915426545,0.4022676910118422,0.029629831857576727,2.973466028888193e-07,true-logit genome-weighted vector T,binary_class,donor
6,0.4,0.4666666666666667,1702,4195.323472,0.4313500074373762,0.40497473230355,0.026375275133826204,2.6589006836168544e-07,true-logit genome-weighted vector T,binary_class,donor
7,0.4666666666666667,0.5333333333333333,1910,2741.107824,0.501699954399451,0.6964337496269172,0.19473379522746614,1.2826468898866334e-06,true-logit genome-weighted vector T,binary_class,donor
8,0.5333333333333333,0.6,2066,3728.2156480000003,0.5597679590440902,0.5536160444761912,0.006151914567898986,5.5112610912149565e-08,true-logit genome-weighted vector T,binary_class,donor
9,0.6,0.6666666666666666,2358,3189.107824,0.6281367433915279,0.7390781779976593,0.11094143460613137,8.501638723284264e-07,true-logit genome-weighted vector T,binary_class,donor
10,0.6666666666666666,0.7333333333333333,2926,3757.107824,0.7033262299683591,0.7785243695470795,0.07519813957872035,6.788915767047633e-07,true-logit genome-weighted vector T,binary_class,donor
